Alloys,Phase(s),ML-A,ML-B,ML-C,Ref
Al1.5CoCrFeMo0.5Ni,B2+σ,MP,IM,,26
Al2.0CoCrFeMo0.5Ni,BCC+B2,MP,IM,,26
Al0.5CoCrFeMo0.5Ni,FCC+σ,MP,IM,,26
AlCoCrFe0.6Mo0.5Ni,BCC+σ,MP,IM,,27
AlCoCrFe1.5Mo0.5Ni,BCC+σ,MP,IM,,27
AlCoCrFe2Mo0.5Ni,BCC+σ,MP,IM,,27
AlCo0.5CrFeMo0.5Ni,BCC+B2+σ,MP,IM,,28
AlCo1.5CrFeMo0.5Ni,BCC+B2+σ,MP,IM,,28
AlCo2CrFeMo0.5Ni,BCC+FCC+σ,MP,IM,,28
AlCoCr0.5FeMo0.5Ni,B2+σ,MP,IM,,29
AlCoCr1.5FeMo0.5Ni,B2+σ,MP,IM,,29
AlCoCr2FeMo0.5Ni,B2+σ,MP,IM,,29
AlCoFeMo0.5Ni,B2+σ,MP,IM,,29
Al0.5B0.2CoCrCuFeNi,FCC+IM,MP,IM,,30
Al0.5B0.6CoCrCuFeNi,FCC+IM,MP,IM,,30
Al0.5BCoCrCuFeNi,L10+IM,MP,IM,,30
AgAlCoCrCuNi,2FCC+B2,MP,IM,,31
AlAuCoCrCuNi,FCC+L10,MP,IM,,31
AlCoCrCuNiTi,2BCC+FCC,MP,SS,MSS,32
AlCoCrCuNiTiY0.8,BCC+C15+L21,MP,IM,,32
AlCoCrCuNiTiY,BCC+C15+L21,MP,IM,,32
AlCoCrCuNiTiY0.5,BCC+FCC+C15+L21,MP,IM,,32
HfTaTiZr,BCC,SP,SS,BCC,33
HfTa0.4TiZr,BCC+HCP,MP,SS,MSS,33
HfTa0.5TiZr,BCC+HCP,MP,SS,MSS,33
HfTa0.6TiZr,BCC+HCP,MP,SS,MSS,33
CoCrFeNb0.25Ni,FCC+Laves,MP,IM,,34
CoCrFeNb0.45Ni,FCC+Laves,MP,IM,,34
CoCrFeNb0.5Ni,FCC+Laves,MP,IM,,34
CoCrFeNb0.75Ni,FCC+Laves,MP,IM,,34
CoCrFeNb1.2Ni,FCC+Laves,MP,IM,,34
CoCrFeNbNi,FCC+Laves,MP,IM,,34
CoCrFeNiTa0.1,FCC+Laves,MP,IM,,35
CoCrFeNiTa0.2,FCC+Laves,MP,IM,,35
CoCrFeNiTa0.3,FCC+Laves,MP,IM,,35
CoCrFeNiTa0.4,FCC+Laves,MP,IM,,35
CoCrFeNiTa0.5,FCC+Laves,MP,IM,,35
CoCrFeNiTa0.75,FCC+Laves,MP,IM,,35
CoFeNiV,FCC,SP,SS,FCC,36
CoFeMoNi1.2V,FCC+IM(Co2Mo3),MP,IM,,36
CoFeMoNi1.4V,FCC+IM(Co2Mo3),MP,IM,,36
CoFeMoNi1.6V,FCC+IM(Co2Mo3),MP,IM,,36
CoFeMoNi1.8V,FCC+IM(Co2Mo3),MP,IM,,36
CoFeMoNi2.0V,FCC+IM(Co2Mo3),MP,IM,,36
CoFeMo0.2NiV,FCC+IM(CoMo2Ni),MP,IM,,36
CoFeMo0.4NiV,FCC+IM(CoMo2Ni),MP,IM,,36
CoFeMo0.6NiV,FCC+IM(CoMo2Ni),MP,IM,,36
CoFeMo0.8NiV,FCC+IM(CoMo2Ni),MP,IM,,36
CoFeMoNiV,FCC+IM(CoMo2Ni),MP,IM,,36
CoCrFeNiTi0.5,FCC+C14+IM+σ,MP,IM,,37
Al2.8CoCrCuFe,BCC,SP,SS,BCC,38
Al3.0CoCrCuFe,BCC,SP,SS,BCC,38
Al0.3CoCrCuFe,FCC,SP,SS,FCC,38
Al0.5CoCrCuFe,FCC,SP,SS,FCC,38
CoCrCuFe,FCC,SP,SS,FCC,38
Al0.8CoCrCuFe,BCC+2FCC,MP,SS,MSS,38
Al1.3CoCrCuFe,BCC+FCC,MP,SS,MSS,38
Al1.5CoCrCuFe,BCC+FCC,MP,SS,MSS,38
Al1.8CoCrCuFe,BCC+FCC,MP,SS,MSS,38
Al2.0CoCrCuFe,BCC+FCC,MP,SS,MSS,38
Al2.3CoCrCuFe,BCC+FCC,MP,SS,MSS,38
Al2.5CoCrCuFe,BCC+FCC,MP,SS,MSS,38
AlCoCrCuFe,BCC+FCC,MP,SS,MSS,38
AlCrCuFeNi0.6,BCC+FCC+AlFe0.23Ni0.77,MP,IM,,39
AlCrCuFeNi0.8,BCC+FCC+AlFe0.23Ni0.78,MP,IM,,39
AlCrCuFeNi1.2,BCC+FCC+AlFe0.23Ni0.79,MP,IM,,39
AlCrCuFeNi1.4,BCC+FCC+AlFe0.23Ni0.80,MP,IM,,39
HfMoTaTiZr,BCC,SP,SS,BCC,40
AlCoCrFeMo0.5,B2+σ,MP,IM,,41
AlCoCrFeMo0.5Ni0.5,B2+σ,MP,IM,,41
AlCoCrFeMo0.5Ni1.5,FCC+B2+σ,MP,IM,,41
AlCoCrFeMo0.5Ni2.0,FCC+B2+σ,MP,IM,,41
HfMo0.25NbTaTiZr,BCC,SP,SS,BCC,42
HfMo0.50NbTaTiZr,BCC,SP,SS,BCC,42
HfMo0.75NbTaTiZr,BCC,SP,SS,BCC,42
HfMoNbTaTiZr,BCC,SP,SS,BCC,42
AlCrMoTi,BCC,SP,SS,BCC,43
AlCrMoTiV,BCC,SP,SS,BCC,43
AlCrTi,BCC+B2,MP,IM,,43
AlCrTiV,BCC+B2,MP,IM,,43
AlMoTi,BCC+B2,MP,IM,,43
AlMoTiV,BCC+B2,MP,IM,,43
AlTiV,BCC+B2,MP,IM,,43
CoFeMnTi0.5VZr,C14,SP,IM,,44
CoFeMnTi1.5VZr,C14,SP,IM,,44
CoFeMnTi2.0VZr,C14,SP,IM,,44
CoFeMnTi2.5VZr,C14,SP,IM,,44
CoFeMnTiV0.4Zr,C14,SP,IM,,44
CoFeMnTiV0.7Zr,C14,SP,IM,,44
CoFeMnTiV1.3Zr,C14,SP,IM,,44
CoFeMnTiV1.6Zr,C14,SP,IM,,44
CoFeMnTiV2.0Zr,C14,SP,IM,,44
CoFeMnTiV2.3Zr,C14,SP,IM,,44
CoFeMnTiV2.6Zr,C14,SP,IM,,44
CoFeMnTiV3.0Zr,C14,SP,IM,,44
CoFeMnTiVZr,C14,SP,IM,,44
CoFeMnTiVZr0.4,C14,SP,IM,,44
CoFeMnTiVZr0.7,C14,SP,IM,,44
CoFeMnTiVZr1.3,C14,SP,IM,,44
CoFeMnTiVZr1.6,C14,SP,IM,,44
CoFeMnTiVZr2.0,C14,SP,IM,,44
CoFeMnTiVZr2.3,C14,SP,IM,,44
CoFeMnTiVZr2.6,C14,SP,IM,,44
CoFeMnTiVZr3.0,C14,SP,IM,,44
Al0.875CoCrFeNi,BCC,SP,SS,BCC,45
Al0.25CoCrFeNi,FCC,SP,SS,FCC,45
Al0.375CoCrFeNi,FCC,SP,SS,FCC,45
Al0.75CoCrFeNi,BCC+FCC,MP,SS,MSS,45
Al1.25CoCrFeNi,BCC+B2,MP,IM,,45
Al0.5CoCrCu0.5FeNi,FCC,SP,SS,FCC,46
AlCo3.5CrCu0.5FeNi,FCC,SP,SS,FCC,46
AlCo0.5CrCu0.5FeNi,BCC+FCC,MP,SS,MSS,46
AlCo2CrCu0.5FeNi,BCC+FCC,MP,SS,MSS,46
AlCo3.0CrCu0.5FeNi,BCC+FCC,MP,SS,MSS,46
AlCoCr1.5Cu0.5FeNi,BCC+FCC,MP,SS,MSS,46
AlCoCrCu0.5FeNi0.5,BCC+FCC,MP,SS,MSS,46
AlCoCrCu0.5FeNi1.5,BCC+FCC,MP,SS,MSS,46
AlCoCrCu0.5FeNi2.0,BCC+FCC,MP,SS,MSS,46
AlCoCu0.5FeNi,BCC+FCC,MP,SS,MSS,46
AlCrCu0.5FeNi,BCC+B2,MP,IM,,46
AlCoCr0.5Cu0.5FeNi,BCC+FCC+B2,MP,IM,,46
AlCoCrCu0.5FeNi2.5,BCC+L12,MP,IM,,46
AlCoCrCu0.5Fe,FCC+B2,MP,IM,,46
AlCo1.5CrCu0.5FeNi,FCC+B2,MP,IM,,46
AlCoCr2Cu0.5FeNi,FCC+B2,MP,IM,,46
AlCoCrCu0.5Fe1.5Ni,FCC+B2,MP,IM,,46
AlCoCrCu0.5Fe2Ni,FCC+B2,MP,IM,,46
Al1.5CoCrCu0.5FeNi,B2,SP,IM,,46
Al2CoCrCu0.5FeNi,B2,SP,IM,,46
AlCoCrCu0.5FeNi3.0,L12,SP,IM,,46
AlCoCrCuFeNiV,BCC+FCC,MP,SS,MSS,47
AlCoCrCuFeNiTi,BCC+FCC+B2,MP,IM,,47
AlCoCrCuFeMnNi,BCC+FCC+IM,MP,IM,,47
AlCoCr2FeNi,B2+L12,MP,IM,,48
CrCuFeMoNi,FCC,SP,SS,FCC,49
CrCuFeNiZr,BCC+IM,MP,IM,,49
AlHfNbTaTiZr,2BCC,MP,SS,BCC,50
Al0.3HfNbTaTiZr,BCC,SP,SS,BCC,50
Al0.5HfNbTaTiZr,BCC,SP,SS,BCC,50
Al0.75HfNbTaTiZr,BCC,SP,SS,BCC,50
HfNbTaTiZr,BCC,SP,SS,BCC,50
CoCuFeMnNi,FCC,SP,SS,FCC,51
CoCuFeMnNiSn0.03,FCC,SP,SS,FCC,51
CoCuFeMnNiSn0.05,FCC+Cu5.6Sn,MP,IM,,51
CoCuFeMnNiSn0.08,FCC+Cu5.6Sn,MP,IM,,51
CoCuFeMnNiSn0.10,FCC+Cu5.6Sn,MP,IM,,51
CoCuFeMnNiSn0.20,FCC+Cu5.6Sn,MP,IM,,51
CoCuFeNi,FCC,SP,SS,FCC,52
CoCuFeNiSn0.02,FCC,SP,SS,FCC,52
CoCuFeNiSn0.04,FCC+Cu81Sn22,MP,IM,,52
CoCuFeNiSn0.05,FCC+Cu81Sn22,MP,IM,,52
CoCuFeNiSn0.07,FCC+Cu81Sn22,MP,IM,,52
CoCuFeNiSn0.10,FCC+Cu81Sn22,MP,IM,,52
CoCuFeNiSn0.20,FCC+Cu81Sn22,MP,IM,,52
CoCuFeNiSn0.50,FCC+Cu81Sn22,MP,IM,,52
CoCrFeNb0.103Ni,FCC+Laves,MP,IM,,53
CoCrFeNb0.155Ni,FCC+Laves,MP,IM,,53
CoCrFeNb0.206Ni,FCC+Laves,MP,IM,,53
CoCrFeNb0.309Ni,FCC+Laves,MP,IM,,53
CoCrFeNb0.412Ni,FCC+Laves,MP,IM,,53
HfMo0.5NbTiV0.5,BCC,SP,SS,BCC,54
HfMo0.5NbSi0.3TiV0.5,BCC+IM,MP,IM,,54
HfMo0.5NbSi0.5TiV0.5,BCC+IM,MP,IM,,54
HfMo0.5NbSi0.7TiV0.5,BCC+IM,MP,IM,,54
Al0.8CoCrCuFeNi,BCC+FCC,MP,SS,MSS,55
AlCoCrFeNi2.1,FCC+B2,MP,IM,,56
Al2CoCrFeNi,BCC,SP,SS,BCC,57
CoCrFeNiPd2,FCC,SP,SS,FCC,57
CuHfNiTiZr,AM,AM,,,58
AlCoCrFeNb0.1Ni,BCC,SP,SS,BCC,59
AlCoCrFeNb0.25Ni,BCC+Laves,MP,IM,,59
AlCoCrFeNb0.5Ni,BCC+Laves,MP,IM,,59
HfNbTaZr,BCC,SP,SS,BCC,60
Al23Co15Cr23Cu8Fe15Ni16,BCC+B2+IM,MP,IM,,61
Al8Co17Cr17Cu8Fe17Ni33,FCC+L12,MP,IM,,61
Hf0.75NbTa0.5Ti1.5Zr1.25,BCC,SP,SS,BCC,62
Al0.2MoTaTiV,BCC,SP,SS,BCC,63
Al0.6MoTaTiV,BCC,SP,SS,BCC,63
AlMoTaTiV,BCC,SP,SS,BCC,63
MoTaTiV,BCC,SP,SS,BCC,63
Cr2CuFe2Mn2Ni2,2FCC,MP,SS,FCC,64
CrCu2Fe2MnNi2,2FCC,MP,SS,FCC,64
CrCuFeMn2Ni2,FCC,SP,SS,FCC,64
Cr2Cu2FeMnNi2,BCC+2FCC,MP,SS,MSS,64
Cr2CuFe2MnNi,BCC+2FCC,MP,SS,MSS,64
CrCu2Fe2Mn2Ni,BCC+2FCC,MP,SS,MSS,64
Cr2Cu2FeMn2Ni,BCC+FCC,MP,SS,MSS,64
CrMo0.5NbTa0.5TiZr,2BCC+C15,MP,IM,,65
MoNbTaVW,BCC,SP,SS,BCC,66
MoNbTaW,BCC,SP,SS,BCC,66
Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,SP,SS,BCC,67
CoCrFeNiTi0.3,FCC+HCP+L12,MP,IM,,68
Al0.3CoCrFeNiTi0.1,FCC,SP,SS,FCC,69
CoCrFeMo0.5Ni,FCC+σ,MP,IM,,70
CoCrFeMo0.85Ni,FCC+σ+D85,MP,IM,,70
CrCuFeNi,FCC,SP,SS,FCC,71
CoCrFeMnNi,FCC,SP,SS,FCC,72
CoCrFeMnNiV0.25,FCC,SP,SS,FCC,72
CoCrFeMnNiV0.5,FCC+σ,MP,IM,,72
CoCrFeMnNiV0.75,FCC+σ,MP,IM,,72
Al0.5CrNbTi2V0.5,BCC,SP,SS,BCC,73
AlNbTiV,BCC,SP,SS,BCC,74
DyGdLuTbTm,HCP,SP,SS,HCP,75
DyGdLuTbY,HCP,SP,SS,HCP,75
CoCrFeMn0.2NiPd,FCC+MnxPdy,MP,IM,,76
CoCrFeMn0.4NiPd,FCC+MnxPdy,MP,IM,,76
CoCrFeMn0.6NiPd,FCC+MnxPdy,MP,IM,,76
CoCrFeMn0.8NiPd,FCC+MnxPdy,MP,IM,,76
AlCoCrFeNiTiVZr,AM,AM,,,77
AlCoFeNiTiVZr,AM,AM,,,77
AlCrTaTiZr,AM,AM,,,77
AlFeNiTiVZr,AM,AM,,,77
CoCrCuFeNiTiVZr,AM,AM,,,77
CoCrFeMoNiTiVZr,AM,AM,,,77
CoCuFeNiTiVZr,AM,AM,,,77
CoFeMoNiTiVZr,AM,AM,,,77
CuFeNiTiVZr,AM,AM,,,77
Cu6HfTiZr2,AM,AM,,,77
FeMoNiTiVZr,AM,AM,,,77
NbTaTiZr,BCC,SP,SS,BCC,78
CoCr2FeNi,BCC+FCC,MP,SS,MSS,79
CoCrFeHfNi,BCC+C15,MP,IM,,79
CoCrFeNiZr,BCC+C15,MP,IM,,79
CoCrFeNiY,BCC+YX2+YNi+Y2X17,MP,IM,,79
CoCrFeNITa,FCC+C14,MP,IM,,79
CoCrFeNiW,FCC+μ+W,MP,IM,,79
CoCrFeNiV,FCC+σ,MP,IM,,79
Al0.8CrFe1.5MnNi0.5,BCC,SP,SS,BCC,80
Al1.2CrFe1.5MnNi0.5,BCC,SP,SS,BCC,80
CrFe1.5MnNi0.5,FCC+σ,MP,IM,,80
AlCo0.5CrCuFeNi,BCC+FCC+B2,MP,IM,,81
AlCoCr0.5CuFeNi,BCC+FCC+B2,MP,IM,,81
AlCoCrCuFe0.5Ni,BCC+FCC+B2,MP,IM,,81
AlCoCrCuFeNi0.5,BCC+FCC+B2,MP,IM,,81
AlCo1.5CrFeNiTi0.5,BCC+FCC,MP,SS,MSS,82
AlCo2CrFeNiTi0.5,BCC+FCC,MP,SS,MSS,82
AlCo3.0CrFeNiTi0.5,BCC+FCC,MP,SS,MSS,82
Al0.75CoCrCu0.25FeNiTi0.5,2BCC,MP,SS,BCC,83
Al0.25CoCrCu0.75FeNiTi0.5,2FCC,MP,SS,FCC,83
Al0.5CoCrCu0.5FeNiTi0.5,2BCC+FCC,MP,SS,MSS,83
MoNbTaTiZr,2BCC,MP,SS,BCC,84
Al0.1CoCrFeNi,FCC,SP,SS,FCC,85
Al0.4CoCrFeNi,FCC,SP,SS,FCC,85
CoCrFeNi,FCC,SP,SS,FCC,85
Al0.9CoCrFeNi,BCC+B2,MP,IM,,85
Al1.2CoCrFeNi,BCC+B2,MP,IM,,85
Al1.8CoCrFeNi,BCC+B2,MP,IM,,85
Al0.6CoCrFeNi,BCC+FCC+B2,MP,IM,,85
Al0.7CoCrFeNi,BCC+FCC+B2,MP,IM,,85
Al0.8CoCrFeNi,BCC+FCC+B2,MP,IM,,85
CoCrCuFeNiTi0.5,2FCC,MP,SS,FCC,86
CoCrCuFeNiTi0.8,FCC+C14,MP,IM,,86
AlCoFeNiTi,BCC,SP,SS,BCC,87
CoCuFeNiTi,FCC,SP,SS,FCC,87
CoFeNiTi,FCC+IM,MP,IM,,87
CoCrCu0.5FeMoNi,BCC+2FCC,MP,SS,MSS,88
CoCrCu0.8FeMoNi,BCC+2FCC,MP,SS,MSS,88
CoCrCuFeMoNi,BCC+2FCC,MP,SS,MSS,88
CoCrCu0.1FeMoNi,BCC+FCC,MP,SS,MSS,88
CoCrCu0.3FeMoNi,BCC+FCC,MP,SS,MSS,88
HfNbTiZr,BCC,SP,SS,BCC,89
Mo1.5NbTiVZr,2BCC,MP,SS,BCC,90
Mo1.7NbTiVZr,2BCC,MP,SS,BCC,90
Mo2NbTiVZr,2BCC,MP,SS,BCC,90
Mo0.1NbTiV0.3Zr,BCC,SP,SS,BCC,90
Mo0.3NbTiV0.3Zr,BCC,SP,SS,BCC,90
Mo0.3NbTiVZr,BCC,SP,SS,BCC,90
Mo0.5NbTiV0.3Zr,BCC,SP,SS,BCC,90
Mo0.5NbTiVZr,BCC,SP,SS,BCC,90
Mo0.7NbTiV0.3Zr,BCC,SP,SS,BCC,90
Mo0.7NbTiVZr,BCC,SP,SS,BCC,90
Mo1.3NbTiV0.3Zr,BCC,SP,SS,BCC,90
Mo1.3NbTiVZr,BCC,SP,SS,BCC,90
Mo1.5NbTiV0.3Zr,BCC,SP,SS,BCC,90
MoNbTiV0.3Zr,BCC,SP,SS,BCC,90
NbTiV0.3Zr,BCC,SP,SS,BCC,90
NbTiVZr,BCC,SP,SS,BCC,90
Cr0.66FeMnNi,FCC,SP,SS,FCC,91
CoCrMnNi,FCC,SP,SS,FCC,92
CoCrNi,FCC,SP,SS,FCC,92
CoFeMnNi,FCC,SP,SS,FCC,92
CoMnNi,FCC,SP,SS,FCC,92
FeMnNi,FCC,SP,SS,FCC,92
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)85Al15,AM,AM,,,93
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)88Al12,AM,AM,,,93
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)90Al10,AM,AM,,,93
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)92Al8,AM,AM,,,93
La32Ce32Al16Ni5Cu10Co5,AM,AM,,,93
La32Ce32Al16Ni5Cu12Co3,AM,AM,,,93
La32Ce32Al16Ni5Cu5Co10,AM,AM,,,93
La32Ce32Al16Ni5Cu7Co8,AM,AM,,,93
AlCoCrCu0.5FeNiTi,AM,AM,,,93
AlCrMoTaTiZr,AM,AM,,,93
Al10Cu22.5La22.5Nd22.5Pr22.5,AM,AM,,,93
Ni42Ti20Zr20.5Al8Cu5Si4.5,AM,AM,,,93
ErTbDyNiAl,AM,AM,,,93
AlMoNbSiTaTiVZr,AM,AM,,,93
(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5,AM,AM,,,93
Fe39Co9Cr15Mo14C15B6Y2,AM,AM,,,93
Fe41Co7Cr15Mo14C15B6Y2,AM,AM,,,93
(Fe0.6Co0.4)48Cr15Mo14C15B6Tm2,AM,AM,,,93
(Fe0.8Co0.2)48Cr15Mo14C15B6Tm2,AM,AM,,,93
Fe43Co5Cr15Mo14C15B6Y2,AM,AM,,,93
Fe45Co3Cr15Mo14C15B6Y2,AM,AM,,,93
Fe46Mn10Mo16Cr4Ga2C15B7,AM,AM,,,93
Fe48Mn10Mo13Cr4W3C15B7,AM,AM,,,93
Fe49Mn10Mo13Cr3W3C15B7,AM,AM,,,93
Fe49Mn10Mo14Cr4V1C15B7,AM,AM,,,93
Fe49Mn10Mo14Cr4W1C15B7,AM,AM,,,93
Fe30Cr30Mo15C15B10,AM,AM,,,93
Fe37.5Cr15Mo22.5C15B10,AM,AM,,,93
Fe37.5Cr22.5Mo15C15B10,AM,AM,,,93
